Tipo de Movimiento;Planta;GUIA SII;Fecha;Mes;ID;Proveedor;Lote;Title;Nombre;Cod Nombre;Clasificacion;Total Pallet;Cantidad;Unidad de medida;Bod. Origen;Bod. Destino;Ubicacion Origen;Ubicación Destino;Turno;Responsable;Temporada;Observacion;Bodega Stock;Ubicacion Stock;Total Stock;Numero Embarque;Patente Camion,,,,,,
Despacho;Rancagua;15233;10/29/2024;10;4127;;48847;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;19;57;UNIDAD;RANCO;MERQUEN;CARPA DOS (C2);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA DOS (C2);-57;;,,,,,,
Despacho;Rancagua;15233;10/29/2024;10;4129;;RG2S24034;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;2;6;UNIDAD;RANCO;MERQUEN;CARPA DOS (C2);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA DOS (C2);-6;;,,,,,,
Despacho;Rancagua;15233;10/29/2024;10;4131;;RG2S24047;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;1;3,15;UNIDAD;RANCO;MERQUEN;CARPA DOS (C2);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA DOS (C2);-3,15;;,,,,
Despacho;Rancagua;15233;10/29/2024;10;4133;;GBPLANTA24;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;1;1,962;UNIDAD;RANCO;MERQUEN;CARPA DOS (C2);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA DOS (C2);-1,962;;,,,,
Despacho;Rancagua;15234;10/29/2024;10;4150;;RKMBPUV24302;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;32;10,752;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA UNO (C1);-10,752;;,,,,
Despacho;Rancagua;15238;10/30/2024;10;4272;;RKMRGV24303;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;32;10,752;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA UNO (C1);-10,752;;,,,,
Despacho;Rancagua;15239;10/30/2024;10;4382;;RKMDEV25304;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;32;10,752;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA UNO (C1);-10,752;;,,,,
Despacho;Rancagua;30348;11-04-2024;11;4457;;RKMBPV24302;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;32;10,752;UNIDAD;RANCO;SUPERFRUIT;CARPA DOS (C2);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA DOS (C2);-10,752;;,,,,
Despacho;Rancagua;30351;11-04-2024;11;4560;;RKMDVE25309;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;27;9,072;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA UNO (C1);-9,072;;,,,,
Despacho;Rancagua;30351;11-04-2024;11;4564;;RKMDEV25304;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Kit;5;1,68;UNIDAD;RANCO;SUPERFRUIT;CARPA UNO (C1);BODEGA EXTERNA;Turno 1;Dig bodega Rancagua;R9 2024-2025;;RANCO;CARPA UNO (C1);-1,68;;,,,,
